Title,Family,Synonyms,Common Names,Origin,Growth Habit,Earliest Record,Tool Used For Assessment,Predictive Tool Score,North,Central,South,Assessment Dates,Counties,Questionnaires
Jacquinia arborea,Theophrastaceae,Jacquinia armillaris,Braceletwood,"North America-Mexico, South America","Shrub, Tree",1949,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2007Jun 20, 2018",3,
Jasminum dichotomum,Oleaceae,,Gold Coast jasmine,Africa,Vine,1940,Status Assessment,4,Not a problem species (un-documented),Invasive (No Uses),Invasive (No Uses),"Jan 1, 2005Jan 1, 2007",7,
Jasminum fluminense,Oleaceae,,"Brazilian Jasmine, Corky-Stemmed Jasmine","Africa, Asia Temperate",Vine,1937,Predictive Tool,7,Caution,Invasive (No Uses),Invasive (No Uses),"Jan 1, 2006Jan 1, 2012Jan 6, 2015",5,
Jasminum laurifolium,Oleaceae,Jasminum nitidum,Angelwing jasmine,Asia Tropical,Vine,1958,Status Assessment,9,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),1-Jan-06,1,
Jasminum mesnyi,Oleaceae,,Japanese jasmine,Asia Temperate,Vine,1943,Status Assessment,1,Low Invasion Risk,Low Invasion Risk,Low Invasion Risk,"Jan 1, 2006Nov 21, 2016",6,
Jasminum multiflorum,Oleaceae,,Star jasmine,Asia Tropical,"Shrub, Vine",1938,Status Assessment,-5,Low Invasion Risk,Low Invasion Risk,Low Invasion Risk,1-Jan-07,11,
Jasminum sambac,Oleaceae,,Arabian jasmine,Asia Tropical,"Shrub, Vine",1927,Predictive Tool,4,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2004May 20, 2015",4,
Jatropha curcas,Euphorbiaceae,,"Barbados nut, Nutmeg plant, Physic nut","Central America, North America-Mexico, South America","Shrub, Tree",1929,Predictive Tool,19,High Invasion Risk,High Invasion Risk,High Invasion Risk,1-Jan-09,2,
Jatropha gossypiifolia ,Euphorbiaceae,,Bellyache bush,"Central America, North America-Mexico, South America","Forb/Herb, Subshrub",1929,Predictive Tool,25,High Invasion Risk,High Invasion Risk,High Invasion Risk,19-Jun-17,6,
Jatropha integerrima,Euphorbiaceae,,"Fire-cracker, peregrina, spicy jatropha",South America,"Shrub, Tree",1932,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2006Nov 21, 2016",5,
Jatropha multifida,Euphorbiaceae,,Coralbush,South America,"Shrub, Tree",1950,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),1-Jan-07,3,
Juniperus chinensis,Cupressaceae,,"Chinese juniper, Japanese juniper","Asia Temperate, Asia Tropical","Shrub, Tree",1995,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2005May 20, 2015",0,
Juniperus conferta,Cupressaceae,,Shore juniper,Asia Temperate,Shrub,,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2005May 20, 2015",0,
Justicia brandegeeana,Acanthaceae,,Shrimpplant,North America-Mexico,"Forb/Herb, Shrub",1938,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2006Nov 21, 2016",6,
Kalanchoe blossfeldiana,Crassulaceae,,"Christmas kalanchoe, kalanchoe, Madagascar widow's-thrill",Africa,Forb/Herb,1939,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2007Jun 20, 2018",2,
Kalanchoe daigremontiana,Crassulaceae,,Devil's backbone,Africa,"Forb/Herb, Subshrub",1934,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),1-Jan-07,14,
Kalanchoe delagoensis,Crassulaceae,Kalanchoe tubiflora,Chandelier plant,Africa,"Forb/Herb, Subshrub",1964,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (documented),Invasive (No Uses),1-Jan-07,20,
Kalanchoe fedtschenkoi,Crassulaceae,,Lavender scallops,Africa,"Forb/Herb, Subshrub",1941,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2006Nov 16, 2016",3,
Kalanchoe gastonis-bonnieri,Crassulaceae,,Palm beachbells,Africa,Forb/Herb,1972,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2005May 20, 2015",0,
Kalanchoe laciniata,Crassulaceae,,"Christmastree plant, Christmas tree kalanchoe","Africa, Asia Temperate, Asia Tropical",Forb/Herb,,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2005May 20, 2015",0,
Kalanchoe pinnata,Crassulaceae,,"Cathedral Bells, Life Plant",Africa,"Forb/Herb, Subshrub",1877,Status Assessment,N/A,Caution,Invasive (No Uses),Invasive (No Uses),"Jan 1, 2005Jan 1, 2012Dec 16, 2016",17,
Kigelia africana,Bignoniaceae,Kigelia pinnata,Sausage tree,Africa,Tree,1927,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2005May 20, 2015",0,
Koelreuteria elegans subsp. formosana,Sapindaceae,Koelreuteria formosana,"Flamegold tree, golden rain tree","Asia Temperate, Pacific",Tree,1960,Status Assessment,N/A,Not a problem species (documented),Caution,Caution,"Jan 1, 2004Jan 1, 2011Aug 12, 2014",12,
Kummerowia striata,Fabaceae,,Japanese clover,"Asia Temperate, Asia Tropical",Forb/Herb,1919,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2006Dec 6, 2016",46,
Lablab purpureus,Fabaceae,,"Hyacinthbean, wild bean",South America,"Forb/Herb, Vine",1993,Predictive Tool,3,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2006Nov 22, 2016",2,
Lagerstroemia indica,Lythraceae,,Crape myrtle,"Asia Temperate, Asia Tropical","Shrub, Tree",1930,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2006Nov 29, 2016",22,
Lagerstroemia speciosa,Lythraceae,,"Pride of India, Queens crape myrtle",Asia Tropical,"Shrub, Tree",1975,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2005May 20, 2015",0,
Landoltia punctata,Araceae,Spirodela punctata,Dotted Duckweed,"Africa, Asia Temperate, Asia Tropical, Australasia, Pacific, South America","Aquatic, Forb/Herb",1958,Status Assessment,N/A,Not a problem species (documented),Caution,Caution,1-Jan-11,39,
Lantana camara,Verbenaceae,,"Lantana, Shrub Verbena","Central America, North America-Mexico, South America","Shrub, Vine",1845,Status Assessment,N/A,Invasive,Invasive,Invasive,"Jan 1, 2005Jan 1, 2012Aug 8, 2016",0,
Lantana camara (BLOOMIFY RED),Verbenaceae,Lantana camera (UF-1013A-2A),"Lantana, shrub verbena (BLOOMIFY RED)",Unknown,Forb/Herb,,Infraspecific Taxon Protocol,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),8-Aug-16,0,
Lantana camara (BLOOMIFY ROSE),Verbenaceae,Lantana camera (UF-1011-2),"Lantana, shrub verbena (BLOOMIFY ROSE)",Unknown,Forb/Herb,0,Infraspecific Taxon Protocol,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),8-Aug-16,0,
Lantana camara T2,Verbenaceae,,No common name reported,Unknown,"Shrub, Vine",,Infraspecific Taxon Protocol,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),1-Jan-11,0,
Lantana camara T3,Verbenaceae,,No common name reported,Unknown,"Shrub, Vine",,Infraspecific Taxon Protocol,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),1-Jan-11,0,
Lantana camara T4,Verbenaceae,,No common name reported,Unknown,"Shrub, Vine",,Infraspecific Taxon Protocol,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),1-Jan-11,0,
Lantana camara T9,Verbenaceae,,No common name reported,Unknown,"Shrub, Vine",,Infraspecific Taxon Protocol,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),1-Jan-11,0,
Lantana montevidensis,Verbenaceae,,"Trailing lantana, trailing shrubverbena",South America,"Shrub, Subshrub",,Predictive Tool,29,High Invasion Risk,High Invasion Risk,High Invasion Risk,1-Jan-11,17,
Lathyrus hirsutus,Fabaceae,,"Caley pea, singletary peavine","Africa, Asia Temperate, Asia Tropical, Europe","Forb/Herb, Vine",1964,Predictive Tool,7,High Invasion Risk,High Invasion Risk,High Invasion Risk,1-Jan-06,3,
Leonotis nepetifolia,Lamiaceae,,"Christmas candlestick, lion's-ear",Africa,Forb/Herb,,Predictive Tool,14,High Invasion Risk,High Invasion Risk,High Invasion Risk,"Jan 1, 2006Jan 1, 2008",38,
Leptochloa chinensis,Poaceae,Dinebra chinensis,Asian sprangletop,"Africa, Asia Temperate, Asia Tropical",Graminoid,,,N/A,Prohibited,Prohibited,Prohibited,12-May-14,0,
Lespedeza cuneata,Fabaceae,,"Chinese lespedeza, sericea lespedeza","Asia Temperate, Asia Tropical, Australasia","Forb/Herb, Subshrub",,Predictive Tool,23,High Invasion Risk,High Invasion Risk,High Invasion Risk,21-Mar-17,17,
Leucaena leucocephala,Fabaceae,,Lead tree,"Central America, North America-Mexico, South America","Shrub, Tree",1891,,N/A,Prohibited,Prohibited,Prohibited,12-May-14,21,
Leucophyllum frutescens,Scrophulariaceae,,Texas barometer bush,North America-Mexico,Shrub,1994,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2005May 20, 2015",0,
Ligustrum japonicum,Oleaceae,,Japanese privet,Asia Temperate,"Shrub, Tree",1954,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (documented),Not a problem species (un-documented),"Jan 1, 2006Dec 13, 2016",4,
Ligustrum lucidum,Oleaceae,,Glossy privet,Asia Temperate,"Shrub, Tree",1935,Status Assessment,N/A,Caution,Caution,Caution,"Jan 1, 2004Jan 1, 2011Aug 12, 2014Dec 16, 2016",15,
Ligustrum ovalifolium,Oleaceae,,California privet,Asia Temperate,"Shrub, Tree",1926,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),1-Jan-07,2,
Ligustrum quihoui,Oleaceae,,"Waxleaf privet, waxyleaf privet",Asia Temperate,Shrub,1980,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2007Jun 20, 2018",1,
Ligustrum sinense,Oleaceae,,"Chinese privet, hedge privet","Asia Temperate, Asia Tropical","Shrub, Tree",1933,,N/A,Prohibited,Prohibited,Prohibited,1-Jan-07,31,
Limnocharis flava,Limnocharitaceae,,"Yellow velvetleaf, Sawah flowing rush, Sawah lettuce","Central America, North America-Mexico, South America",Aquatic,,,N/A,Prohibited,Prohibited,Prohibited,,0,
Limnophila sessiliflora,Plantaginaceae,,Asian marshweed,"Asia Temperate, Asia Tropical",Aquatic,1961,,N/A,Prohibited,Prohibited,Prohibited,,16,
Lindernia crustacea,Scrophulariaceae,,Malaysian false pimpernel,"Asia Temperate, Asia Tropical, Australasia",Forb/Herb,1933,Status Assessment,N/A,Caution,Caution,Caution,"Jan 1, 2007Jan 1, 2012Dec 16, 2016",0,
Liriope muscari,Ruscaceae,Liriope exiliflora,"Big blue lilyturf, border grass, lilyturf",Asia Temperate,Forb/Herb,1958,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2005May 20, 2015",3,
Liriope spicata,Ruscaceae,Liriope spicatum,"Border-grass, creeping lilyturf, creeping liriope, liriope, monkey-grass","Asia Temperate, Asia Tropical",Forb/Herb,1982,Predictive Tool,6,High Invasion Risk,High Invasion Risk,High Invasion Risk,1-Jan-11,8,
Litchi chinensis,Sapindaceae,,Lychee,Asia Tropical,Tree,1929,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2005May 20, 2015",0,
Livistona chinensis,Arecaceae,,Chinese Fan Palm,Asia Temperate,Tree,1959,Status Assessment,N/A,Caution,Caution,Caution,"Jan 1, 2006Jan 1, 2012Dec 16, 2016",5,
Lobularia maritima,Brassicaceae,,"Alyssum, seaside lobularia, sweet alyssum","Africa, Asia Temperate, Europe",Forb/Herb,1981,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),1-Jan-07,3,
Lolium arundinaceum,Poaceae,"Festuca arundinacea subsp. arundinacea, Schedonorus phoenix, Schedonorus arundinaceus",Tall fescue,"Africa, Asia Temperate, Europe",Graminoid,1958,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),1-Jan-07,20,
Lolium perenne,Poaceae,,"Italian ryegrass, perennial rye grass","Africa, Asia Temperate, Asia Tropical, Europe",Graminoid,1943,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),1-Jan-07,46,
Lonicera x heckrottii,Caprifoliaceae,,Goldflame honeysuckle,Unknown,Shrub,,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2007Jun 15, 2017",0,
Lonicera japonica,Caprifoliaceae,,Japanese honeysuckle,Asia Temperate,Vine,1896,Status Assessment,19,High Invasion Risk,High Invasion Risk,High Invasion Risk,"Jan 1, 2003Oct 1, 2014",39,
Loropetalum chinense,Hamamelidaceae,,Chinese fringe-bush,"Asia Temperate, Asia Tropical","Shrub, Tree",1945,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2005May 20, 2015",1,
Ludwigia grandiflora,Onagraceae,,Water primrose,"Central America, South America","Forb/Herb, Shrub, Subshrub",,,N/A,,,,,0,
Ludwigia peruviana,Onagraceae,,Peruvian primrose-willow,"North America-Mexico, South America","Forb/Herb, Shrub, Subshrub",,,N/A,,,,,0,
Lumnitzera racemosa,Combretaceae,,Black Mangrove,Unknown,"Shrub, Tree",,Predictive Tool,9,High Invasion Risk,High Invasion Risk,High Invasion Risk,"Jan 1, 2010Jan 1, 2012",1,
Lupinus albus,Fabaceae,,White lupine,"Asia Temperate, Europe",Forb/Herb,,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2006Nov 22, 2016",0,
Luziola subintegra,Poaceae,,"Rice grass, Tropical American watergrass","Central America, North America-Mexico, South America","Aquatic, Graminoid",2007,Predictive Tool,11,High Invasion Risk,High Invasion Risk,High Invasion Risk,2-May-17,2,
Lycium ferocissimum,Solanaceae,,African boxthorn,Africa,Shrub,,,N/A,Prohibited,Prohibited,Prohibited,12-May-14,0,
Lygodium japonicum,Schizaeaceae,,Japanese climbing fern,"Asia Temperate, Asia Tropical","Forb/Herb, Vine",1931,,N/A,Prohibited,Prohibited,Prohibited,12-May-14,57,
Lygodium microphyllum,Schizaeaceae,,Old World climbing fern,"Africa, Asia Temperate, Asia Tropical, Australasia, Pacific","Forb/Herb, Vine",1958,,N/A,Prohibited,Prohibited,Prohibited,,27,
Lysiloma sabicu,Fabaceae,,"Horseflesh Mahogany, Sabicu, Wild Tamarind",South America,"Shrub, Tree",1939,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Caution,"Jan 1, 2007Jan 1, 2012Nov 29, 2016",1,
Lythrum salicaria,Lythraceae,,Purple loosestrife,"Africa, Asia Temperate, Europe","Aquatic, Forb/Herb, Subshrub",,,N/A,Prohibited,Prohibited,Prohibited,,0,
Maclura pomifera,Moraceae,,"Bois-D'Arc, hedge apple, osage orange",Unknown,"Shrub, Tree",1929,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2006Nov 22, 2016",5,
Macroptilium lathyroides,Fabaceae,,"Wild-bean, Wild Bushbean","Central America, North America-Mexico, South America","Forb/Herb, Vine",1944,Predictive Tool,19,Caution,Caution,Caution,"Jan 1, 2007Jan 1, 2012",43,
Macrothelypteris torresiana,Thelypteridaceae,"Dryopteris setigera, Dryopteris uliginosa, Thelypteris torresiana",swordfern,"Africa, Asia Temperate, Asia Tropical, Australasia, Pacific",Forb/Herb,,Predictive Tool,8,High Invasion Risk,High Invasion Risk,High Invasion Risk,13-Jan-16,38,
Mahonia fortunei,Berberidaceae,Berberis bealei,Fortune's mahonia,Asia Temperate,Shrub,,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2005May 20, 2015",0,
Mahonia lomariifolia,Berberidaceae,Berberis lomariifolia,Chinese hollygrape,"Asia Temperate, Asia Tropical",Shrub,,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2006Nov 29, 2016",0,
Malpighia coccigera,Malpighiaceae,,"Miniature holly, Singapore holly",South America,Shrub,1949,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2006Nov 4, 2016",2,
Malva parviflora,Malvaceae,,Cheeseweed mallow,"Africa, Asia Temperate, Europe",Forb/Herb,1928,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2006Nov 29, 2016",8,
Malvastrum coromandelianum,Malvaceae,,Threelobe false mallow,"Central America, North America-Mexico, South America","Forb/Herb, Subshrub",1955,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2006Nov 29, 2016",10,
Malvaviscus arboreus var drummondii,Malvaceae,,"Texas waxmallow, wax mallow",North America-Mexico,"Shrub, Subshrub",1968,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2007Jan 19, 2017",0,
Malvaviscus penduliflorus,Malvaceae,,"Mazapan, Turks-cap mallow",Unknown,Shrub,1958,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2005May 20, 2015",25,
Mangifera indica,Anacardiaceae,,Mango,,Tree,1951,Status Assessment,N/A,Not a problem species (un-documented),Caution,Caution,"Jan 1, 2007Jan 1, 2012Nov 29, 2016",10,
Manilkara roxburghiana,Sapotaceae,,"Bulletwood, mimusops",Asia Tropical,Tree,1970,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2006Nov 29, 2016",0,
Manilkara zapota,Sapotaceae,,Sapodilla,"Central America, North America-Mexico, South America",Tree,1930,Status Assessment,N/A,Not a problem species (un-documented),Invasive,Invasive,"Jan 1, 2007Jan 19, 2017",6,
Maranta leuconeura,Marantaceae,,"Prayerplant, rabbit tracks",South America,Forb/Herb,2002,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2005May 20, 2015",0,
Mazus pumilus,Mazaceae,Mazus japonicus,Japanese mazus,"Asia Temperate, Asia Tropical",Forb/Herb,1971,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2006Nov 29, 2016",19,
Medicago lupulina,Fabaceae,,Black medick,"Africa, Asia Temperate, Asia Tropical, Europe",Forb/Herb,1938,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2007Jan 19, 2017",54,
Medicago polymorpha,Fabaceae,,"Burclover, burr clover","Africa, Asia Temperate, Europe",Forb/Herb,1918,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),1-Jan-06,25,
Medicago sativa,Fabaceae,,Alfalfa,"Africa, Asia Temperate, Asia Tropical, Europe",Forb/Herb,1957,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2006Dec 8, 2016",8,
Melaleuca alternifolia,Myrtaceae,,"Narrow leaf paperbark, narrow leafteatree, teatree",Australasia,Tree,,Predictive Tool,12,High Invasion Risk,High Invasion Risk,High Invasion Risk,18-Sep-14,0,
Melaleuca quinquenervia,Myrtaceae,,"Melaleuca, paper bark, punk tree","Asia Tropical, Australasia, Pacific","Shrub, Tree",1926,,N/A,Prohibited,Prohibited,Prohibited,,22,
Melaleuca viminalis,Myrtaceae,Callistemon viminalis,"Bottlebrush, Weeping bottlebrush",Australasia,"Shrub, Tree",1966,Status Assessment,7,Not a problem species (un-documented),Not a problem species (documented),Caution,"Jan 1, 2006Dec 6, 2017",5,
Melastoma malabathricum,Melastomataceae,Malastoma normale,"Indian rhododendron, malabar melastome","Africa, Asia Temperate, Asia Tropical, Australasia",Shrub,1971,,N/A,Prohibited,Prohibited,Prohibited,,1,
Melia azedarach,Meliaceae,,"Chinaberry, Chinaberrytree","Asia Temperate, Asia Tropical, Australasia, Pacific","Shrub, Tree",1893,Status Assessment,N/A,Invasive (No Uses),Caution,Caution,"Jan 1, 2007Jan 1, 2011Aug 12, 2014",52,
Melilotus albus,Fabaceae,,White sweetclover,"Africa, Asia Temperate, Asia Tropical, Europe",Forb/Herb,1928,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2007Mar 20, 2017",51,
Melilotus indicus,Fabaceae,,"Annual yellow sweetclover, Indian sweetclover","Africa, Asia Temperate, Asia Tropical, Europe",Forb/Herb,1955,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2007Jan 19, 2017",31,
Melilotus officinalis,Fabaceae,,Yellow sweetclover,"Asia Temperate, Asia Tropical, Europe",Forb/Herb,1982,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2006Dec 8, 2016",1,
Melinis minutiflora,Poaceae,,Molassesgrass,Africa,Graminoid,1922,Status Assessment,N/A,Not a problem species (un-documented),Caution,Caution,"Jan 1, 2007Jan 1, 2011Aug 11, 2014",6,
Melinis repens,Poaceae,Rhynchelytrum repens,"Natalgrass, rose natalgrass","Africa, Asia Temperate, Asia Tropical",Graminoid,1907,Status Assessment,N/A,Not a problem species (documented),Caution,Invasive (No Uses),"Jan 1, 2005Jan 1, 2012",56,
Merremia dissecta,Convolvulaceae,,"Baby Woodrose, Noyau Vine","Central America, North America-Mexico, South America","Forb/Herb, Vine",1935,Predictive Tool,12,Caution,Caution,Caution,"Jan 1, 2007Jan 1, 2012Dec 15, 2016",46,
Merremia quinquefolia,Convolvulaceae,,Rock rosemary,"Central America, North America-Mexico, South America","Forb/Herb, Vine",1934,Status Assessment,8,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2006Nov 22, 2016",1,
Merremia umbellata,Convolvulaceae,,"Hogvine, yellow merremia, yellow wood rose",Unknown,"Forb/Herb, Vine",1934,Status Assessment,1,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2006Nov 22, 2016",3,
Michelia figo,Magnoliaceae,Magnolia figo,Banana shrub,Asia Temperate,Shrub,,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2005May 21, 2015",0,
Microstegium vimineum,Poaceae,,"Stiltgrass, Nepalese browntop, Mary's grass, Chinese packing grass","Asia Temperate, Asia Tropical",Graminoid,,Predictive Tool,24,High Invasion Risk,High Invasion Risk,High Invasion Risk,1-Jan-13,2,
Mikania cordata,Asteraceae,"Eupatorium cordatum, Ageratina aromatica","Heartleaf hempvine, African mile a minute","Asia Temperate, Asia Tropical, Pacific","Forb/Herb, Vine",,,18,High Invasion Risk,High Invasion Risk,High Invasion Risk,,0,
Mikania micrantha,Asteraceae,,"Climbing hempseed, American rope, Chinese creeper, Mile-a-minute vine","Central America, North America-Mexico, South America",Vine,2009,,21,High Invasion Risk,High Invasion Risk,High Invasion Risk,,1,
Millettia pinnata,Fabaceae,Pongamia pinnata,"Karum tree, pongam, pongame oiltree, poonga-oil tree","Asia Temperate, Asia Tropical, Australasia, Pacific",Tree,,Predictive Tool,10,High Invasion Risk,High Invasion Risk,High Invasion Risk,"Jan 1, 2006Jan 1, 2012Sep 1, 2015",5,
Mimosa invisa,Fabaceae,Mimosa diplotricha,"Giant sensitive plant, creeping sensitive plant",South America,"Shrub, Vine",,,25,High Invasion Risk,High Invasion Risk,High Invasion Risk,,0,
Mimosa pigra,Fabaceae,Mimosa asperata,Catclaw mimosa,"Africa, Central America, North America-Mexico, South America","Shrub, Tree",1953,,N/A,Prohibited,Prohibited,Prohibited,,5,
Mimosa pudica,Fabaceae,,"Sensitive plant, shameplant",Unknown,Forb/Herb,,Predictive Tool,20,High Invasion Risk,High Invasion Risk,High Invasion Risk,"Jan 1, 2006Jan 1, 2008",4,
Mimusops coriacea,Sapotaceae,Imbricaria coriacea,Monkey's apple,Africa,Tree,,Predictive Tool,-8,Low Invasion Risk,Low Invasion Risk,Low Invasion Risk,10-Aug-15,3,
Miscanthus sacchariflorus,Poaceae,,"Amur grass, Silver banner grass, Silver plume grass",Asia Temperate,Graminoid,,Predictive Tool,20,High Invasion Risk,High Invasion Risk,High Invasion Risk,1-Jan-10,0,
Miscanthus sinensis,Poaceae,,"Chinese silvergrass, zebragrass","Asia Temperate, Asia Tropical",Graminoid,1922,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),13-May-14,2,
Miscanthus x giganteus,Poaceae,,Giant miscanthus,Unknown,Graminoid,,Predictive Tool,-8,Low Invasion Risk,Low Invasion Risk,Low Invasion Risk,1-Jan-09,0,
Momordica balsamina,Cucurbitaceae,,"Balsam apple, southern balsampear","Africa, Asia Temperate, Asia Tropical, Australasia","Forb/Herb, Vine",1918,Status Assessment,11,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2007Jan 18, 2017",1,
Momordica charantia,Cucurbitaceae,,"Balsampear, wild balsam-apple","Africa, Asia Tropical, Australasia, Pacific","Forb/Herb, Vine",1956,Predictive Tool,19,Caution,Caution,Invasive (No Uses),13-May-14,31,
Monochoria hastata,Pontederiaceae,,Arrowleaf false pickerelweed,"Asia Temperate, Asia Tropical, Australasia","Aquatic, Forb/Herb",,,N/A,Prohibited,Prohibited,Prohibited,,0,
Monochoria vaginalis,Pontederiaceae,,Heartshape false pickerelweed,"Asia Temperate, Asia Tropical","Aquatic, Forb/Herb",,,N/A,Prohibited,Prohibited,Prohibited,,0,
Monstera deliciosa,Araceae,,"Cut-leaf philodendron, split-leaf philodendron, swiss-cheese plant, tarovine","Central America, North America-Mexico, South America","Forb/Herb, Vine",1967,Status Assessment,9,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2006Dec 6, 2016",1,
Moringa oleifera,Moringaceae,,"Ben-Oil-Tree, Benzolive Tree, Drumsticktree, Horseradish-Tree, Moringa, West Indian Ben",Asia Tropical,"Shrub, Tree",,Predictive Tool,9,High Invasion Risk,High Invasion Risk,High Invasion Risk,1-Jan-12,4,
Morrenia odorata,Asclepiadaceae,,Strangler vine,South America,Forb/Herb,,Predictive Tool,8,High Invasion Risk,High Invasion Risk,High Invasion Risk,15-Jun-17,0,
